name,day,month,biographical,yearbirth
24;November;Ludwig Hirsch;Ludwig Hirsch
25;November;Wassili Iwanowitsch Alexejew;Wassili Alexejew
27;November;Ken Russell;Ken Russell
30;November;Zdeněk Miler;Zdeněk Miler
1;Dezember;Christa Wolf;Christa Wolf
4;Dezember;Sócrates (Fußballspieler);Sócrates
4;Dezember;Hubert Sumlin;Hubert Sumlin
5;Dezember;Peter Gethin;Peter Gethin
7;Dezember;Josip Barković;Josip Barković
7;Dezember;Harry Morgan;Harry Morgan
8;Dezember;Gilbert Adair;Gilbert Adair
11;Dezember;Vasile Arvinte;Vasile Arvinte
11;Dezember;Hans Heinz Holz;Hans Heinz Holz
13;Dezember;Anthony Amato;Anthony Amato
13;Dezember;Klaus-Dieter Sieloff;Klaus-Dieter Sieloff
15;Dezember;Walter Giller;Walter Giller
15;Dezember;Christopher Hitchens;Christopher Hitchens
16;Dezember;Mark Kopytman;Mark Kopytman
17;Dezember;Cesária Évora;Cesária Évora
17;Dezember;Kim Jong-il;Kim Jong-il
18;Dezember;Diego Febles;Diego Febles
18;Dezember;Václav Havel;Václav Havel
19;Dezember;George Athor Deng Dut;George Athor Deng Dut
19;Dezember;Horst-Eberhard Richter;Horst-Eberhard Richter
19;Dezember;Erwin Wirschaz;Erwin Wirschaz
21;Dezember;Jürgen Hentsch;Jürgen Hentsch
21;Dezember;Werner Otto (Unternehmer);Werner Otto
24;Dezember;Johannes Heesters;Johannes Heesters
26;Dezember;Kennan Adeang;Kennan Ranibok Adeang
26;Dezember;James Rizzi;James Rizzi
27;Dezember;Michael Dummett;Michael Dummett
29;Dezember;Leopold Hawelka;Leopold Hawelka
30;Dezember;Ronald Searle;Ronald Searle
